run_set,condition,n_agents,seed,model,rounds_cap,history_limit,total_messages,unique_pairs,success_count,success_rate,rounds_run,path,exchange_inbox_messages,exchange_outbox_messages,exchange_price_update_count,exchange_price_abs_change,credit_proposals,credit_accepts,send_messages,invalid_actions
runs,barter,3,0,gpt-5-mini,12,10,6,3,3,1.0,4,runs/barter_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs,barter,3,1,gpt-5-mini,12,10,8,3,3,1.0,4,runs/barter_N3_seed1.json,0,0,0,0.0,0,0,0,0
runs,barter,5,0,gpt-5-mini,12,10,13,6,5,1.0,5,runs/barter_N5_seed0.json,0,0,0,0.0,0,0,0,0
runs_51codex_smoke,barter,3,0,gpt-5.1-codex-mini,6,10,2,1,1,0.3333333333333333,6,runs_51codex_smoke/barter_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_51codex_smoke,barter,5,0,gpt-5.1-codex-mini,6,10,9,4,1,0.2,6,runs_51codex_smoke/barter_N5_seed0.json,0,0,0,0.0,0,0,0,0
runs_51codex_smoke,money_exchange,3,0,gpt-5.1-codex-mini,6,10,24,3,3,1.0,4,runs_51codex_smoke/money_exchange_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_51codex_smoke,money_exchange,5,0,gpt-5.1-codex-mini,6,10,40,5,5,1.0,4,runs_51codex_smoke/money_exchange_N5_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_credit_smoke,barter_credit,5,0,gpt-5-mini,6,10,9,4,5,1.0,5,runs_5mini_credit_smoke/barter_credit_N5_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_emergent,barter,8,0,gpt-5-mini,8,10,35,11,4,0.5,8,runs_5mini_emergent/barter_N8_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_emergent,barter,8,1,gpt-5-mini,8,10,31,7,4,0.5,8,runs_5mini_emergent/barter_N8_seed1.json,0,0,0,0.0,0,0,0,0
runs_5mini_emergent,barter,8,2,gpt-5-mini,8,10,39,10,4,0.5,8,runs_5mini_emergent/barter_N8_seed2.json,0,0,0,0.0,0,0,0,0
runs_5mini_emergent,barter_credit,8,0,gpt-5-mini,8,10,38,7,4,0.5,8,runs_5mini_emergent/barter_credit_N8_seed0.json,0,0,0,0.0,2,0,0,0
runs_5mini_emergent,barter_credit,8,1,gpt-5-mini,8,10,36,9,4,0.5,8,runs_5mini_emergent/barter_credit_N8_seed1.json,0,0,0,0.0,1,0,0,0
runs_5mini_emergent,barter_credit,8,2,gpt-5-mini,8,10,30,10,5,0.625,8,runs_5mini_emergent/barter_credit_N8_seed2.json,0,0,0,0.0,2,0,0,0
runs_5mini_full,barter,3,0,gpt-5-mini,8,10,7,3,3,1.0,4,runs_5mini_full/barter_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_full,barter,3,1,gpt-5-mini,8,10,9,3,3,1.0,5,runs_5mini_full/barter_N3_seed1.json,0,0,0,0.0,0,0,0,0
runs_5mini_full,barter,3,2,gpt-5-mini,8,10,5,2,3,1.0,4,runs_5mini_full/barter_N3_seed2.json,0,0,0,0.0,0,0,0,0
runs_5mini_full,barter,8,0,gpt-5-mini,8,10,36,7,4,0.5,8,runs_5mini_full/barter_N8_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_full,central_planner,8,0,gpt-5-mini,8,10,72,8,0,0.0,8,runs_5mini_full/central_planner_N8_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_full,money_exchange,3,0,gpt-5-mini,8,10,18,3,3,1.0,3,runs_5mini_full/money_exchange_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_full,money_exchange,8,0,gpt-5-mini,8,10,46,8,8,1.0,4,runs_5mini_full/money_exchange_N8_seed0.json,23,23,0,0.0,0,0,0,0
runs_5mini_full_seed1,barter,8,0,gpt-5-mini,8,10,39,8,3,0.375,8,runs_5mini_full_seed1/barter_N8_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_short,barter,7,0,gpt-5-mini,6,10,20,8,7,1.0,6,runs_5mini_short/barter_N7_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_short,money_exchange,3,0,gpt-5-mini,6,10,32,3,0,0.0,6,runs_5mini_short/money_exchange_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_short,money_exchange,5,0,gpt-5-mini,6,10,58,5,0,0.0,6,runs_5mini_short/money_exchange_N5_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_short,money_exchange,7,0,gpt-5-mini,4,10,54,7,0,0.0,4,runs_5mini_short/money_exchange_N7_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_smoke,barter,3,0,gpt-5-mini,6,10,7,3,3,1.0,5,runs_5mini_smoke/barter_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_smoke,barter,5,0,gpt-5-mini,6,10,22,6,3,0.6,6,runs_5mini_smoke/barter_N5_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_smoke,central_planner,3,0,gpt-5-mini,6,10,21,3,0,0.0,6,runs_5mini_smoke/central_planner_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_smoke,central_planner,5,0,gpt-5-mini,6,10,37,5,2,0.4,6,runs_5mini_smoke/central_planner_N5_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_smoke,money_exchange,3,0,gpt-5-mini,6,10,24,3,3,1.0,4,runs_5mini_smoke/money_exchange_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_5mini_smoke,money_exchange,5,0,gpt-5-mini,6,10,32,5,5,1.0,4,runs_5mini_smoke/money_exchange_N5_seed0.json,0,0,0,0.0,0,0,0,0
runs_5nano_smoke,barter,3,0,gpt-5-nano,6,10,5,1,0,0.0,6,runs_5nano_smoke/barter_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_5nano_smoke,barter,5,0,gpt-5-nano,6,10,6,2,1,0.2,6,runs_5nano_smoke/barter_N5_seed0.json,0,0,0,0.0,0,0,0,0
runs_5nano_smoke,money_exchange,3,0,gpt-5-nano,4,10,22,3,2,0.6666666666666666,4,runs_5nano_smoke/money_exchange_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_chat_credit_retest,barter_chat_credit,8,0,gpt-5-mini,12,12,60,8,4,0.5,12,runs_chat_credit_retest/barter_chat_credit_N8_seed0.json,0,0,0,0.0,7,0,25,3
runs_chat_credit_retest,barter_chat_credit,8,1,gpt-5-mini,12,12,70,8,3,0.375,12,runs_chat_credit_retest/barter_chat_credit_N8_seed1.json,0,0,0,0.0,16,0,27,0
runs_chat_credit_retest,barter_credit,8,0,gpt-5-mini,12,12,38,9,6,0.75,12,runs_chat_credit_retest/barter_credit_N8_seed0.json,0,0,0,0.0,1,0,0,3
runs_chat_credit_retest,barter_credit,8,1,gpt-5-mini,12,12,49,10,6,0.75,12,runs_chat_credit_retest/barter_credit_N8_seed1.json,0,0,0,0.0,2,0,0,10
runs_core,barter,10,0,gpt-5-mini,8,10,47,13,5,0.5,8,runs_core/barter_N10_seed0.json,0,0,0,0.0,0,0,0,1
runs_core,barter,10,1,gpt-5-mini,8,10,28,15,8,0.8,8,runs_core/barter_N10_seed1.json,0,0,0,0.0,0,0,0,0
runs_core,barter,12,0,gpt-5-mini,8,10,59,23,5,0.4166666666666667,8,runs_core/barter_N12_seed0.json,0,0,0,0.0,0,0,0,2
runs_core,barter,12,1,gpt-5-mini,8,10,63,18,5,0.4166666666666667,8,runs_core/barter_N12_seed1.json,0,0,0,0.0,0,0,0,0
runs_core,barter,3,0,gpt-5-mini,8,10,8,3,3,1.0,5,runs_core/barter_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_core,barter,3,1,gpt-5-mini,8,10,14,2,1,0.3333333333333333,8,runs_core/barter_N3_seed1.json,0,0,0,0.0,0,0,0,0
runs_core,barter,5,0,gpt-5-mini,8,10,15,5,3,0.6,8,runs_core/barter_N5_seed0.json,0,0,0,0.0,0,0,0,4
runs_core,barter,5,1,gpt-5-mini,8,10,12,5,5,1.0,5,runs_core/barter_N5_seed1.json,0,0,0,0.0,0,0,0,1
runs_core,barter,8,0,gpt-5-mini,8,10,35,8,4,0.5,8,runs_core/barter_N8_seed0.json,0,0,0,0.0,0,0,0,3
runs_core,barter,8,1,gpt-5-mini,8,10,29,11,6,0.75,8,runs_core/barter_N8_seed1.json,0,0,0,0.0,0,0,0,3
runs_core,money_exchange,10,0,gpt-5-mini,8,10,62,10,10,1.0,4,runs_core/money_exchange_N10_seed0.json,31,31,0,0.0,0,0,0,0
runs_core,money_exchange,10,1,gpt-5-mini,8,10,60,10,10,1.0,4,runs_core/money_exchange_N10_seed1.json,30,30,0,0.0,0,0,0,0
runs_core,money_exchange,12,0,gpt-5-mini,8,10,74,12,12,1.0,4,runs_core/money_exchange_N12_seed0.json,37,37,0,0.0,0,0,0,0
runs_core,money_exchange,12,1,gpt-5-mini,8,10,72,12,12,1.0,4,runs_core/money_exchange_N12_seed1.json,36,36,0,0.0,0,0,0,0
runs_core,money_exchange,3,0,gpt-5-mini,8,10,20,3,3,1.0,4,runs_core/money_exchange_N3_seed0.json,10,10,1,0.050000000000000044,0,0,0,0
runs_core,money_exchange,3,1,gpt-5-mini,8,10,16,3,3,1.0,3,runs_core/money_exchange_N3_seed1.json,8,8,0,0.0,0,0,0,0
runs_core,money_exchange,5,0,gpt-5-mini,8,10,26,5,5,1.0,3,runs_core/money_exchange_N5_seed0.json,13,13,0,0.0,0,0,0,0
runs_core,money_exchange,5,1,gpt-5-mini,8,10,32,5,5,1.0,4,runs_core/money_exchange_N5_seed1.json,16,16,0,0.0,0,0,0,0
runs_core,money_exchange,8,0,gpt-5-mini,8,10,46,8,8,1.0,4,runs_core/money_exchange_N8_seed0.json,23,23,2,0.020000000000000018,0,0,0,0
runs_core,money_exchange,8,1,gpt-5-mini,8,10,48,8,8,1.0,3,runs_core/money_exchange_N8_seed1.json,24,24,0,0.0,0,0,0,0
